,first_name,last_name,address,city,county,state,phone1,phone2,email,qtr1,qtr2,qtr3,qtr4,Median
185,Hillary,Skulski,9 Wales Rd Ne #914,Homosassa,Citrus,FL,352-242-2570,352-990-5946,hillary.skulski@aol.com,75,91,96,75,83.0
186,Merilyn,Bayless,195 13n N,Santa Clara,Santa Clara,CA,408-758-5015,408-346-2180,merilyn_bayless@cox.net,98,93,95,91,94.0
187,Teri,Ennaco,99 Tank Farm Rd,Hazleton,Luzerne,PA,570-889-5187,570-355-1665,tennaco@gmail.com,75,84,98,97,90.5
188,Merlyn,Lawler,4671 Alemany Blvd,Jersey City,Hudson,NJ,201-588-7810,201-858-9960,merlyn_lawler@hotmail.com,80,96,91,78,85.5
189,Georgene,Montezuma,98 University Dr,San Ramon,Contra Costa,CA,925-615-5185,925-943-3449,gmontezuma@cox.net,75,96,93,86,89.5
190,Jettie,Mconnell,50 E Wacker Dr,Bridgewater,Somerset,NJ,908-802-3564,908-602-5258,jmconnell@hotmail.com,88,76,73,73,74.5
191,Lemuel,Latzke,70 Euclid Ave #722,Bohemia,Suffolk,NY,631-748-6479,631-291-4976,lemuel.latzke@gmail.com,88,91,94,88,89.5
192,Melodie,Knipp,326 E Main St #6496,Thousand Oaks,Ventura,CA,805-690-1682,805-810-8964,mknipp@gmail.com,81,95,97,78,88.0
193,Candida,Corbley,406 Main St,Somerville,Somerset,NJ,908-275-8357,908-943-6103,candida_corbley@hotmail.com,90,74,95,85,87.5
194,Karan,Karpin,3 Elmwood Dr,Beaverton,Washington,OR,503-940-8327,503-707-5812,karan_karpin@gmail.com,84,96,96,77,90.0
195,Andra,Scheyer,9 Church St,Salem,Marion,OR,503-516-2189,503-950-3068,andra@gmail.com,96,95,78,97,95.5
196,Felicidad,Poullion,9939 N 14th St,Riverton,Burlington,NJ,856-305-9731,856-828-6021,fpoullion@poullion.com,85,95,73,94,89.5
197,Belen,Strassner,5384 Southwyck Blvd,Douglasville,Douglas,GA,770-507-8791,770-802-4003,belen_strassner@aol.com,81,95,85,98,90.0
198,Gracia,Melnyk,97 Airport Loop Dr,Jacksonville,Duval,FL,904-235-3633,904-627-4341,gracia@melnyk.com,86,94,97,92,93.0
199,Jolanda,Hanafan,37855 Nolan Rd,Bangor,Penobscot,ME,207-458-9196,207-233-6185,jhanafan@gmail.com,88,89,79,97,88.5
200,Barrett,Toyama,4252 N Washington Ave #9,Kennedale,Tarrant,TX,817-765-5781,817-577-6151,barrett.toyama@toyama.org,82,85,87,93,86.0
201,Helga,Fredicks,42754 S Ash Ave,Buffalo,Erie,NY,716-752-4114,716-854-9845,helga_fredicks@yahoo.com,97,96,95,93,95.5
202,Ashlyn,Pinilla,703 Beville Rd,Opa Locka,Miami-Dade,FL,305-670-9628,305-857-5489,apinilla@cox.net,74,86,76,87,81.0
203,Fausto,Agramonte,5 Harrison Rd,New York,New York,NY,212-313-1783,212-778-3063,fausto_agramonte@yahoo.com,84,77,79,97,81.5
204,Ronny,Caiafa,73 Southern Blvd,Philadelphia,Philadelphia,PA,215-605-7570,215-511-3531,ronny.caiafa@caiafa.org,93,92,94,76,92.5
205,Marge,Limmel,189 Village Park Rd,Crestview,Okaloosa,FL,850-430-1663,850-330-8079,marge@gmail.com,86,94,93,85,89.5
206,Norah,Waymire,6 Middlegate Rd #106,San Francisco,San Francisco,CA,415-306-7897,415-874-2984,norah.waymire@gmail.com,88,77,79,92,83.5
207,Aliza,Baltimore,1128 Delaware St,San Jose,Santa Clara,CA,408-504-3552,408-425-1994,aliza@aol.com,84,82,74,74,78.0
208,Mozell,Pelkowski,577 Parade St,South San Francisco,San Mateo,CA,650-947-1215,650-960-1069,mpelkowski@pelkowski.org,94,93,84,74,88.5
209,Viola,Bitsuie,70 Mechanic St,Northridge,Los Angeles,CA,818-864-4875,818-481-5787,viola@gmail.com,95,83,80,79,81.5
210,Franklyn,Emard,4379 Highway 116,Philadelphia,Philadelphia,PA,215-558-8189,215-483-3003,femard@emard.com,74,92,85,87,86.0
211,Willodean,Konopacki,55 Hawthorne Blvd,Lafayette,Lafayette,LA,337-253-8384,337-774-7564,willodean_konopacki@konopacki.org,75,87,79,94,83.0
212,Beckie,Silvestrini,7116 Western Ave,Dearborn,Wayne,MI,313-533-4884,313-390-7855,beckie.silvestrini@silvestrini.com,87,73,92,93,89.5
213,Rebecka,Gesick,2026 N Plankinton Ave #3,Austin,Travis,TX,512-213-8574,512-693-8345,rgesick@gesick.org,94,91,85,91,91.0
214,Frederica,Blunk,99586 Main St,Dallas,Dallas,TX,214-428-2285,214-529-1949,frederica_blunk@gmail.com,95,93,93,79,93.0
215,Glen,Bartolet,8739 Hudson St,Vashon,King,WA,206-697-5796,206-389-1482,glen_bartolet@hotmail.com,95,96,96,73,95.5
216,Freeman,Gochal,383 Gunderman Rd #197,Coatesville,Chester,PA,610-476-3501,610-752-2683,freeman_gochal@aol.com,81,95,75,80,80.5
217,Vincent,Meinerding,4441 Point Term Mkt,Philadelphia,Philadelphia,PA,215-372-1718,215-829-4221,vincent.meinerding@hotmail.com,82,84,76,76,79.0
218,Rima,Bevelacqua,2972 Lafayette Ave,Gardena,Los Angeles,CA,310-858-5079,310-499-4200,rima@cox.net,82,77,90,83,82.5
219,Glendora,Sarbacher,2140 Diamond Blvd,Rohnert Park,Sonoma,CA,707-653-8214,707-881-3154,gsarbacher@gmail.com,78,94,74,74,76.0
220,Avery,Steier,93 Redmond Rd #492,Orlando,Orange,FL,407-808-9439,407-945-8566,avery@cox.net,97,86,79,74,82.5
221,Cristy,Lother,3989 Portage Tr,Escondido,San Diego,CA,760-971-4322,760-465-4762,cristy@lother.com,92,93,82,82,87.0
222,Nicolette,Brossart,1 Midway Rd,Westborough,Worcester,MA,508-837-9230,508-504-6388,nicolette_brossart@brossart.com,92,91,81,75,86.0
223,Tracey,Modzelewski,77132 Coon Rapids Blvd Nw,Conroe,Montgomery,TX,936-264-9294,936-988-8171,tracey@hotmail.com,89,87,98,74,88.0
224,Virgina,Tegarden,755 Harbor Way,Milwaukee,Milwaukee,WI,414-214-8697,414-411-5744,virgina_tegarden@tegarden.com,82,86,82,85,83.5
225,Tiera,Frankel,87 Sierra Rd,El Monte,Los Angeles,CA,626-636-4117,626-638-4241,tfrankel@aol.com,94,91,73,76,83.5
226,Alaine,Bergesen,7667 S Hulen St #42,Yonkers,Westchester,NY,914-300-9193,914-654-1426,alaine_bergesen@cox.net,90,76,84,74,80.0
227,Earleen,Mai,75684 S Withlapopka Dr #32,Dallas,Dallas,TX,214-289-1973,214-785-6750,earleen_mai@cox.net,79,95,94,87,90.5
228,Leonida,Gobern,5 Elmwood Park Blvd,Biloxi,Harrison,MS,228-235-5615,228-432-4635,leonida@gobern.org,90,79,80,88,84.0
229,Ressie,Auffrey,23 Palo Alto Sq,Miami,Miami-Dade,FL,305-604-8981,305-287-4743,ressie.auffrey@yahoo.com,90,88,96,83,89.0
230,Justine,Mugnolo,38062 E Main St,New York,New York,NY,212-304-9225,212-311-6377,jmugnolo@yahoo.com,91,98,87,87,89.0
231,Eladia,Saulter,3958 S Dupont Hwy #7,Ramsey,Bergen,NJ,201-474-4924,201-365-8698,eladia@saulter.com,87,94,96,74,90.5
232,Chaya,Malvin,560 Civic Center Dr,Ann Arbor,Washtenaw,MI,734-928-5182,734-408-8174,chaya@malvin.com,89,97,93,91,92.0
233,Gwenn,Suffield,3270 Dequindre Rd,Deer Park,Suffolk,NY,631-258-6558,631-295-9879,gwenn_suffield@suffield.org,77,88,88,81,84.5
234,Salena,Karpel,1 Garfield Ave #7,Canton,Stark,OH,330-791-8557,330-618-2579,skarpel@cox.net,77,73,86,79,78.0
235,Yoko,Fishburne,9122 Carpenter Ave,New Haven,New Haven,CT,203-506-4706,203-840-8634,yoko@fishburne.com,77,95,97,89,92.0
236,Taryn,Moyd,48 Lenox St,Fairfax,Fairfax City,VA,703-322-4041,703-938-7939,taryn.moyd@hotmail.com,82,83,87,81,82.5
237,Katina,Polidori,5 Little River Tpke,Wilmington,Middlesex,MA,978-626-2978,978-679-7429,katina_polidori@aol.com,93,81,74,92,86.5
238,Rickie,Plumer,3 N Groesbeck Hwy,Toledo,Lucas,OH,419-693-1334,419-313-5571,rickie.plumer@aol.com,85,81,75,91,83.0
239,Alex,Loader,37 N Elm St #916,Tacoma,Pierce,WA,253-660-7821,253-875-9222,alex@loader.com,88,91,75,94,89.5
240,Lashon,Vizarro,433 Westminster Blvd #590,Roseville,Placer,CA,916-741-7884,916-289-4526,lashon@aol.com,98,80,73,80,80.0
241,Lauran,Burnard,66697 Park Pl #3224,Riverton,Fremont,WY,307-342-7795,307-453-7589,lburnard@burnard.com,76,85,88,90,86.5
242,Ceola,Setter,96263 Greenwood Pl,Warren,Knox,ME,207-627-7565,207-297-5029,ceola.setter@setter.org,75,75,87,87,81.0
243,My,Rantanen,8 Mcarthur Ln,Richboro,Bucks,PA,215-491-5633,215-647-2158,my@hotmail.com,89,97,97,76,93.0
244,Lorrine,Worlds,8 Fair Lawn Ave,Tampa,Hillsborough,FL,813-769-2939,813-863-6467,lorrine.worlds@worlds.com,96,90,84,91,90.5
245,Peggie,Sturiale,9 N 14th St,El Cajon,San Diego,CA,619-608-1763,619-695-8086,peggie@cox.net,77,96,83,88,85.5
246,Marvel,Raymo,9 Vanowen St,College Station,Brazos,TX,979-718-8968,979-809-5770,mraymo@yahoo.com,97,76,90,75,83.0
247,Daron,Dinos,18 Waterloo Geneva Rd,Highland Park,Lake,IL,847-233-3075,847-265-6609,daron_dinos@cox.net,93,93,94,90,93.0
248,An,Fritz,506 S Hacienda Dr,Atlantic City,Atlantic,NJ,609-228-5265,609-854-7156,an_fritz@hotmail.com,88,82,89,94,88.5
249,Portia,Stimmel,3732 Sherman Ave,Bridgewater,Somerset,NJ,908-722-7128,908-670-4712,portia.stimmel@aol.com,94,96,80,92,93.0
250,Rhea,Aredondo,25657 Live Oak St,Brooklyn,Kings,NY,718-560-9537,718-280-4183,rhea_aredondo@cox.net,91,73,81,78,79.5
251,Benedict,Sama,4923 Carey Ave,Saint Louis,Saint Louis City,MO,314-787-1588,314-858-4832,bsama@cox.net,94,88,78,81,84.5
252,Alyce,Arias,3196 S Rider Trl,Stockton,San Joaquin,CA,209-317-1801,209-242-7022,alyce@arias.org,75,84,77,78,77.5
253,Heike,Berganza,3 Railway Ave #75,Little Falls,Passaic,NJ,973-936-5095,973-822-8827,heike@gmail.com,79,95,87,84,85.5
254,Carey,Dopico,87393 E Highland Rd,Indianapolis,Marion,IN,317-578-2453,317-441-5848,carey_dopico@dopico.org,74,90,96,74,82.0
255,Dottie,Hellickson,67 E Chestnut Hill Rd,Seattle,King,WA,206-540-6076,206-295-5631,dottie@hellickson.org,97,76,95,92,93.5
256,Deandrea,Hughey,33 Lewis Rd #46,Burlington,Alamance,NC,336-822-7652,336-467-3095,deandrea@yahoo.com,93,91,95,74,92.0
257,Kimberlie,Duenas,8100 Jacksonville Rd #7,Hays,Ellis,KS,785-629-8542,785-616-1685,kimberlie_duenas@yahoo.com,81,98,82,76,81.5
258,Martina,Staback,7 W Wabansia Ave #227,Orlando,Orange,FL,407-471-6908,407-429-2145,martina_staback@staback.com,92,76,84,81,82.5
259,Skye,Fillingim,25 Minters Chapel Rd #9,Minneapolis,Hennepin,MN,612-508-2655,612-664-6304,skye_fillingim@yahoo.com,76,78,84,75,77.0
260,Jade,Farrar,6882 Torresdale Ave,Columbia,Richland,SC,803-352-5387,803-975-3405,jade.farrar@yahoo.com,77,93,95,94,93.5
261,Charlene,Hamilton,985 E 6th Ave,Santa Rosa,Sonoma,CA,707-300-1771,707-821-8037,charlene.hamilton@hotmail.com,94,95,95,88,94.5
262,Geoffrey,Acey,7 West Ave #1,Palatine,Cook,IL,847-222-1734,847-556-2909,geoffrey@gmail.com,96,75,81,89,85.0
263,Stevie,Westerbeck,26659 N 13th St,Costa Mesa,Orange,CA,949-867-4077,949-903-3898,stevie.westerbeck@yahoo.com,86,74,79,77,78.0
264,Pamella,Fortino,669 Packerland Dr #1438,Denver,Denver,CO,303-404-2210,303-794-1341,pamella@fortino.com,86,73,83,97,84.5
265,Harrison,Haufler,759 Eldora St,New Haven,New Haven,CT,203-801-6193,203-801-8497,hhaufler@hotmail.com,73,75,92,79,77.0
266,Johnna,Engelberg,5 S Colorado Blvd #449,Bothell,Snohomish,WA,425-986-7573,425-700-3751,jengelberg@engelberg.org,78,73,77,92,77.5
267,Buddy,Cloney,944 Gaither Dr,Strongsville,Cuyahoga,OH,440-989-5826,440-327-2093,buddy.cloney@yahoo.com,91,94,95,96,94.5
268,Dalene,Riden,66552 Malone Rd,Plaistow,Rockingham,NH,603-315-6839,603-745-7497,dalene.riden@aol.com,76,94,75,75,75.5
269,Jerry,Zurcher,77 Massillon Rd #822,Satellite Beach,Brevard,FL,321-518-5938,321-597-2159,jzurcher@zurcher.org,85,95,83,97,90.0
270,Haydee,Denooyer,25346 New Rd,New York,New York,NY,212-792-8658,212-782-3493,hdenooyer@denooyer.org,87,76,73,98,81.5
271,Joseph,Cryer,60 Fillmore Ave,Huntington Beach,Orange,CA,714-584-2237,714-698-2170,joseph_cryer@cox.net,75,89,94,93,91.0
272,Deonna,Kippley,57 Haven Ave #90,Southfield,Oakland,MI,248-913-4677,248-793-4966,deonna_kippley@hotmail.com,88,96,80,94,91.0
273,Raymon,Calvaresi,6538 E Pomona St #60,Indianapolis,Marion,IN,317-825-4724,317-342-1532,raymon.calvaresi@gmail.com,82,87,98,87,87.0
274,Alecia,Bubash,6535 Joyce St,Wichita Falls,Wichita,TX,940-276-7922,940-302-3036,alecia@aol.com,90,76,83,96,86.5
275,Ma,Layous,78112 Morris Ave,North Haven,New Haven,CT,203-721-3388,203-564-1543,mlayous@hotmail.com,81,88,87,87,87.0
276,Detra,Coyier,96950 Hidden Ln,Aberdeen,Harford,MD,410-739-9277,410-259-2118,detra@aol.com,98,82,92,78,87.0
277,Terrilyn,Rodeigues,3718 S Main St,New Orleans,Orleans,LA,504-463-4384,504-635-8518,terrilyn.rodeigues@cox.net,78,95,77,78,78.0
278,Salome,Lacovara,9677 Commerce Dr,Richmond,Richmond City,VA,804-550-5097,804-858-1011,slacovara@gmail.com,96,82,77,73,79.5
279,Garry,Keetch,5 Green Pond Rd #4,Southampton,Bucks,PA,215-979-8776,215-846-9046,garry_keetch@hotmail.com,87,74,75,92,81.0
280,Matthew,Neither,636 Commerce Dr #42,Shakopee,Scott,MN,952-651-7597,952-906-4597,mneither@yahoo.com,73,74,74,88,74.0
281,Theodora,Restrepo,42744 Hamann Industrial Pky #82,Miami,Miami-Dade,FL,305-936-8226,305-573-1085,theodora.restrepo@restrepo.com,93,86,84,96,89.5
282,Noah,Kalafatis,1950 5th Ave,Milwaukee,Milwaukee,WI,414-263-5287,414-660-9766,noah.kalafatis@aol.com,82,85,75,92,83.5
283,Carmen,Sweigard,61304 N French Rd,Somerset,Somerset,NJ,732-941-2621,732-445-6940,csweigard@sweigard.com,95,82,89,79,85.5
284,Lavonda,Hengel,87 Imperial Ct #79,Fargo,Cass,ND,701-898-2154,701-421-7080,lavonda@cox.net,94,97,75,87,90.5
285,Junita,Stoltzman,94 W Dodge Rd,Carson City,Carson City,NV,775-638-9963,775-578-1214,junita@aol.com,76,77,88,86,81.5
286,Herminia,Nicolozakes,4 58th St #3519,Scottsdale,Maricopa,AZ,602-954-5141,602-304-6433,herminia@nicolozakes.org,90,77,95,90,90.0
287,Casie,Good,5221 Bear Valley Rd,Nashville,Davidson,TN,615-390-2251,615-825-4297,casie.good@aol.com,93,95,97,77,94.0
288,Reena,Maisto,9648 S Main,Salisbury,Wicomico,MD,410-351-1863,410-951-2667,reena@hotmail.com,74,94,73,76,75.0
289,Mirta,Mallett,7 S San Marcos Rd,New York,New York,NY,212-870-1286,212-745-6948,mirta_mallett@gmail.com,91,73,83,81,82.0
290,Cathrine,Pontoriero,812 S Haven St,Amarillo,Randall,TX,806-703-1435,806-558-5848,cathrine.pontoriero@pontoriero.com,93,86,90,86,88.0
291,Filiberto,Tawil,3882 W Congress St #799,Los Angeles,Los Angeles,CA,323-765-2528,323-842-8226,ftawil@hotmail.com,88,77,75,86,81.5
292,Raul,Upthegrove,4 E Colonial Dr,La Mesa,San Diego,CA,619-509-5282,619-666-4765,rupthegrove@yahoo.com,88,97,93,89,91.0
293,Sarah,Candlish,45 2nd Ave #9759,Atlanta,Fulton,GA,770-732-1194,770-531-2842,sarah.candlish@gmail.com,90,82,90,81,86.0
294,Lucy,Treston,57254 Brickell Ave #372,Worcester,Worcester,MA,508-769-5250,508-502-5634,lucy@cox.net,93,82,97,85,89.0
295,Judy,Aquas,8977 Connecticut Ave Nw #3,Niles,Berrien,MI,269-756-7222,269-431-9464,jaquas@aquas.com,85,87,77,94,86.0
296,Yvonne,Tjepkema,9 Waydell St,Fairfield,Essex,NJ,973-714-1721,973-976-8627,yvonne.tjepkema@hotmail.com,90,79,85,81,83.0
297,Kayleigh,Lace,43 Huey P Long Ave,Lafayette,Lafayette,LA,337-740-9323,337-751-2326,kayleigh.lace@yahoo.com,89,77,87,98,88.0
298,Felix,Hirpara,7563 Cornwall Rd #4462,Denver,Lancaster,PA,717-491-5643,717-583-1497,felix_hirpara@cox.net,96,77,97,74,86.5
299,Tresa,Sweely,22 Bridle Ln,Valley Park,Saint Louis,MO,314-359-9566,314-231-3514,tresa_sweely@hotmail.com,96,78,98,94,95.0
300,Kristeen,Turinetti,70099 E North Ave,Arlington,Tarrant,TX,817-213-8851,817-947-9480,kristeen@gmail.com,73,73,89,92,81.0
301,Jenelle,Regusters,3211 E Northeast Loop,Tampa,Hillsborough,FL,813-932-8715,813-357-7296,jregusters@regusters.com,86,75,95,90,88.0
302,Renea,Monterrubio,26 Montgomery St,Atlanta,Fulton,GA,770-679-4752,770-930-9967,renea@hotmail.com,79,77,84,77,78.0
303,Olive,Matuszak,13252 Lighthouse Ave,Cathedral City,Riverside,CA,760-938-6069,760-745-2649,olive@aol.com,82,95,78,94,88.0
304,Ligia,Reiber,206 Main St #2804,Lansing,Ingham,MI,517-906-1108,517-747-7664,lreiber@cox.net,87,87,83,87,87.0
305,Christiane,Eschberger,96541 W Central Blvd,Phoenix,Maricopa,AZ,602-390-4944,602-330-6894,christiane.eschberger@yahoo.com,82,92,96,76,87.0
306,Goldie,Schirpke,34 Saint George Ave #2,Bangor,Penobscot,ME,207-295-7569,207-748-3722,goldie.schirpke@yahoo.com,73,88,84,81,82.5
307,Loreta,Timenez,47857 Coney Island Ave,Clinton,Prince Georges,MD,301-696-6420,301-392-6698,loreta.timenez@hotmail.com,97,75,76,89,82.5
308,Fabiola,Hauenstein,8573 Lincoln Blvd,York,York,PA,717-809-3119,717-344-2804,fabiola.hauenstein@hauenstein.org,77,77,77,89,77.0
309,Amie,Perigo,596 Santa Maria Ave #7913,Mesquite,Dallas,TX,972-419-7946,972-898-1033,amie.perigo@yahoo.com,75,91,81,76,78.5
310,Raina,Brachle,3829 Ventura Blvd,Butte,Silver Bow,MT,406-318-1515,406-374-7752,raina.brachle@brachle.org,87,82,74,93,84.5
311,Erinn,Canlas,13 S Hacienda Dr,Livingston,Essex,NJ,973-767-3008,973-563-9502,erinn.canlas@canlas.com,79,90,81,80,80.5
312,Cherry,Lietz,40 9th Ave Sw #91,Waterford,Oakland,MI,248-980-6904,248-697-7722,cherry@lietz.com,90,96,83,98,93.0
313,Kattie,Vonasek,2845 Boulder Crescent St,Cleveland,Cuyahoga,OH,216-923-3715,216-270-9653,kattie@vonasek.org,88,87,94,91,89.5
314,Lilli,Scriven,33 State St,Abilene,Taylor,TX,325-631-1560,325-667-7868,lilli@aol.com,91,75,77,91,84.0
315,Whitley,Tomasulo,2 S 15th St,Fort Worth,Tarrant,TX,817-526-4408,817-819-7799,whitley.tomasulo@aol.com,83,98,73,77,80.0
316,Barbra,Adkin,4 Kohler Memorial Dr,Brooklyn,Kings,NY,718-201-3751,718-732-9475,badkin@hotmail.com,77,88,76,95,82.5
317,Hermila,Thyberg,1 Rancho Del Mar Shopping C,Providence,Providence,RI,401-893-4882,401-885-7681,hermila_thyberg@hotmail.com,86,88,92,94,90.0
318,Jesusita,Flister,3943 N Highland Ave,Lancaster,Lancaster,PA,717-885-9118,717-686-7564,jesusita.flister@hotmail.com,92,79,92,83,87.5
319,Caitlin,Julia,5 Williams St,Johnston,Providence,RI,401-948-4982,401-552-9059,caitlin.julia@julia.org,73,73,84,79,76.0
320,Roosevelt,Hoffis,60 Old Dover Rd,Hialeah,Miami-Dade,FL,305-622-4739,305-302-1135,roosevelt.hoffis@aol.com,95,98,78,92,93.5
321,Helaine,Halter,8 Sheridan Rd,Jersey City,Hudson,NJ,201-832-4168,201-412-3040,hhalter@yahoo.com,86,74,87,87,86.5
322,Lorean,Martabano,85092 Southern Blvd,San Antonio,Bexar,TX,210-856-4979,210-634-2447,lorean.martabano@hotmail.com,91,92,81,88,89.5
323,France,Buzick,64 Newman Springs Rd E,Brooklyn,Kings,NY,718-478-8504,718-853-3740,france.buzick@yahoo.com,83,84,84,86,84.0
324,Justine,Ferrario,48 Stratford Ave,Pomona,Los Angeles,CA,909-993-3242,909-631-5703,jferrario@hotmail.com,80,73,77,97,78.5
325,Adelina,Nabours,80 Pittsford Victor Rd #9,Cleveland,Cuyahoga,OH,216-230-4892,216-937-5320,adelina_nabours@gmail.com,96,88,98,80,92.0
326,Derick,Dhamer,87163 N Main Ave,New York,New York,NY,212-304-4515,212-225-9676,ddhamer@cox.net,98,81,93,73,87.0
327,Jerry,Dallen,393 Lafayette Ave,Richmond,Richmond City,VA,804-762-9576,804-808-9574,jerry.dallen@yahoo.com,83,87,89,75,85.0
328,Leota,Ragel,99 5th Ave #33,Trion,Chattooga,GA,706-221-4243,706-616-5131,leota.ragel@gmail.com,90,81,73,81,81.0
329,Jutta,Amyot,49 N Mays St,Broussard,Lafayette,LA,337-515-1438,337-991-8070,jamyot@hotmail.com,85,74,98,80,82.5
330,Aja,Gehrett,993 Washington Ave,Nutley,Essex,NJ,973-544-2677,973-986-4456,aja_gehrett@hotmail.com,83,89,85,85,85.0
331,Kirk,Herritt,88 15th Ave Ne,Vestal,Broome,NY,607-407-3716,607-350-7690,kirk.herritt@aol.com,75,94,96,85,89.5
332,Leonora,Mauson,3381 E 40th Ave,Passaic,Passaic,NJ,973-412-2995,973-355-2120,leonora@yahoo.com,77,89,84,87,85.5
333,Winfred,Brucato,201 Ridgewood Rd,Moscow,Latah,ID,208-252-4552,208-793-4108,winfred_brucato@hotmail.com,73,75,82,76,75.5
334,Tarra,Nachor,39 Moccasin Dr,San Francisco,San Francisco,CA,415-411-1775,415-284-2730,tarra.nachor@cox.net,80,88,73,84,82.0
335,Corinne,Loder,4 Carroll St,North Attleboro,Bristol,MA,508-942-4186,508-618-7826,corinne@loder.org,76,85,84,76,80.0
336,Dulce,Labreche,9581 E Arapahoe Rd,Rochester,Oakland,MI,248-357-8718,248-811-5696,dulce_labreche@yahoo.com,89,95,80,76,84.5
337,Kate,Keneipp,33 N Michigan Ave,Green Bay,Brown,WI,920-353-6377,920-355-1610,kate_keneipp@yahoo.com,75,79,76,78,77.0
338,Kaitlyn,Ogg,2 S Biscayne Blvd,Baltimore,Baltimore City,MD,410-665-4903,410-773-3862,kaitlyn.ogg@gmail.com,91,94,93,75,92.0
339,Sherita,Saras,8 Us Highway 22,Colorado Springs,El Paso,CO,719-669-1664,719-547-9543,sherita.saras@cox.net,94,94,87,98,94.0
340,Lashawnda,Stuer,7422 Martin Ave #8,Toledo,Lucas,OH,419-588-8719,419-399-1744,lstuer@cox.net,85,94,83,76,84.0
341,Ernest,Syrop,94 Chase Rd,Hyattsville,Prince Georges,MD,301-998-9644,301-257-4883,ernest@cox.net,76,98,91,88,89.5
342,Nobuko,Halsey,8139 I Hwy 10 #92,New Bedford,Bristol,MA,508-855-9887,508-897-7916,nobuko.halsey@yahoo.com,87,98,76,80,83.5
343,Lavonna,Wolny,5 Cabot Rd,Mc Lean,Fairfax,VA,703-483-1970,703-892-2914,lavonna.wolny@hotmail.com,88,81,75,85,83.0
344,Lashaunda,Lizama,3387 Ryan Dr,Hanover,Anne Arundel,MD,410-678-2473,410-912-6032,llizama@cox.net,85,93,85,90,87.5
345,Mariann,Bilden,3125 Packer Ave #9851,Austin,Travis,TX,512-223-4791,512-742-1149,mariann.bilden@aol.com,95,78,81,97,88.0
346,Helene,Rodenberger,347 Chestnut St,Peoria,Maricopa,AZ,623-461-8551,623-426-4907,helene@aol.com,88,92,78,84,86.0
347,Roselle,Estell,8116 Mount Vernon Ave,Bucyrus,Crawford,OH,419-571-5920,419-488-6648,roselle.estell@hotmail.com,92,90,80,75,85.0
348,Samira,Heintzman,8772 Old County Rd #5410,Kent,King,WA,206-311-4137,206-923-6042,sheintzman@hotmail.com,83,79,91,92,87.0
349,Margart,Meisel,868 State St #38,Cincinnati,Hamilton,OH,513-617-2362,513-747-9603,margart_meisel@yahoo.com,92,75,93,97,92.5
350,Kristofer,Bennick,772 W River Dr,Bloomington,Monroe,IN,812-368-1511,812-442-8544,kristofer.bennick@yahoo.com,93,75,84,97,88.5
351,Weldon,Acuff,73 W Barstow Ave,Arlington Heights,Cook,IL,847-353-2156,847-613-5866,wacuff@gmail.com,79,74,83,81,80.0
352,Shalon,Shadrick,61047 Mayfield Ave,Brooklyn,Kings,NY,718-232-2337,718-394-4974,shalon@cox.net,75,88,96,89,88.5
353,Denise,Patak,2139 Santa Rosa Ave,Orlando,Orange,FL,407-446-4358,407-808-3254,denise@patak.org,92,98,91,89,91.5
354,Louvenia,Beech,598 43rd St,Beverly Hills,Los Angeles,CA,310-820-2117,310-652-2379,louvenia.beech@beech.com,95,98,95,93,95.0
355,Audry,Yaw,70295 Pioneer Ct,Brandon,Hillsborough,FL,813-797-4816,813-744-7100,audry.yaw@yaw.org,78,87,95,78,82.5
356,Kristel,Ehmann,92899 Kalakaua Ave,El Paso,El Paso,TX,915-452-1290,915-300-6100,kristel.ehmann@aol.com,96,79,84,87,85.5
357,Vincenza,Zepp,395 S 6th St #2,El Cajon,San Diego,CA,619-603-5125,619-935-6661,vzepp@gmail.com,84,82,92,73,83.0
358,Elouise,Gwalthney,9506 Edgemore Ave,Bladensburg,Prince Georges,MD,301-841-5012,301-591-3034,egwalthney@yahoo.com,88,88,86,73,87.0
359,Venita,Maillard,72119 S Walker Ave #63,Anaheim,Orange,CA,714-523-6653,714-663-9740,venita_maillard@gmail.com,90,73,93,98,91.5
360,Kasandra,Semidey,369 Latham St #500,Saint Louis,Saint Louis City,MO,314-732-9131,314-697-3652,kasandra_semidey@semidey.com,97,97,81,81,89.0
361,Xochitl,Discipio,3158 Runamuck Pl,Round Rock,Williamson,TX,512-233-1831,512-942-3411,xdiscipio@gmail.com,83,97,73,73,78.0
362,Maile,Linahan,9 Plainsboro Rd #598,Greensboro,Guilford,NC,336-670-2640,336-364-6037,mlinahan@yahoo.com,83,80,73,76,78.0
363,Krissy,Rauser,8728 S Broad St,Coram,Suffolk,NY,631-443-4710,631-288-2866,krauser@cox.net,81,83,88,89,85.5
364,Pete,Dubaldi,2215 Prosperity Dr,Lyndhurst,Bergen,NJ,201-825-2514,201-749-8866,pdubaldi@hotmail.com,82,98,81,91,86.5
365,Linn,Paa,1 S Pine St,Memphis,Shelby,TN,901-412-4381,901-573-9024,linn_paa@paa.com,84,78,77,88,81.0
366,Paris,Wide,187 Market St,Atlanta,Fulton,GA,404-505-4445,404-607-8435,paris@hotmail.com,83,82,78,78,80.0
367,Wynell,Dorshorst,94290 S Buchanan St,Pacifica,San Mateo,CA,650-473-1262,650-749-9879,wynell_dorshorst@dorshorst.org,90,94,96,81,92.0
